classification,symbol,trades,net_pnl,avg_pnl,win_rate
Extreme Fear,MEW,1,0.0,0.0,0.0
Extreme Fear,MOODENG,3,0.0,0.0,0.0
Extreme Fear,NEAR,1,0.0,0.0,0.0
Extreme Fear,NEIROETH,1,0.0,0.0,0.0
Extreme Fear,OP,1,0.0,0.0,0.0
Extreme Fear,PENDLE,18,51.038697,2.8354831666666667,0.2222222222222222
Extreme Fear,PENGU,11,29.854743000000003,2.7140675454545455,1.0
Extreme Fear,PNUT,1,0.0,0.0,0.0
Extreme Fear,POPCAT,1,0.0,0.0,0.0
Extreme Fear,PURR,33,-21.589617999999998,-0.6542308484848485,0.0
Extreme Fear,PURR/USDC,20,0.0,0.0,0.0
Extreme Fear,RSR,26,160.127816,6.158762153846154,0.7307692307692307
Extreme Fear,SAND,3,0.0,0.0,0.0
Extreme Fear,SOL,101,167.652569,1.6599264257425743,0.04950495049504951
Extreme Fear,SUI,8,3.72735,0.46591875,0.125
Extreme Fear,SUPER,3,0.0,0.0,0.0
Extreme Fear,SUSHI,1,0.0,0.0,0.0
Extreme Fear,TAO,1,0.0,0.0,0.0
Extreme Fear,TIA,1,0.0,0.0,0.0
Extreme Fear,UNI,1,0.0,0.0,0.0
Extreme Fear,VIRTUAL,5,111.96326499999999,22.392653,0.4
Extreme Fear,W,1,0.0,0.0,0.0
Extreme Fear,WIF,1,0.0,0.0,0.0
Extreme Fear,WLD,5,0.0,0.0,0.0
Extreme Fear,XRP,15,23.807004,1.5871336,0.2
Extreme Fear,YGG,1,0.0,0.0,0.0
Extreme Fear,ZEREBRO,1,0.0,0.0,0.0
Extreme Fear,ZETA,1,0.0,0.0,0.0
Extreme Fear,ZRO,1,0.0,0.0,0.0
Extreme Fear,kBONK,7,0.0,0.0,0.0
Extreme Fear,kPEPE,23,-5.6938200000000005,-0.24755739130434784,0.0
Extreme Greed,@107,2395,1187083.834424,495.65087032317325,0.85678496868476
Extreme Greed,@11,1,0.0,0.0,0.0
Extreme Greed,@14,16,0.0,0.0,0.0
Extreme Greed,@20,4,0.0,0.0,0.0
Extreme Greed,@3,1,0.0,0.0,0.0
Extreme Greed,@38,1,0.0,0.0,0.0
Extreme Greed,@4,79,-995.984587,-12.607399835443038,0.08860759493670886
Extreme Greed,@41,1,0.0,0.0,0.0
Extreme Greed,@44,1,0.0,0.0,0.0
Extreme Greed,@45,1,0.0,0.0,0.0
Extreme Greed,@46,2,0.0,0.0,0.0
